k,prob
1,0
2,0
3,3.881488815e-05
4,0.1906985568
5,0.2373436873
6,0.2129905173
7,0.1507109692
8,0.09471876487
9,0.05213785875
10,0.02869327037
11,0.01581075721
12,0.008221024934
13,0.004200203687
14,0.002005150278
15,0.001030891675
16,0.0006002046389
17,0.0003649078645
18,0.0002082918096
19,0.0001036223306
20,6.335490011e-05
21,3.537000973e-05
22,1.570574616e-05
23,5.684427132e-06
24,1.755613235e-06
25,4.803423819e-07
26,1.197022848e-07
27,2.773131263e-08
28,6.064772111e-09
29,1.266844468e-09
30,2.550691933e-10
